id,sus_id,name
4209201,42008,Meio Oeste
4209300,42013,Serra Catarinense
4209409,42016,Laguna
4209458,42003,Xanxerê
4209508,42004,Alto Vale do Itajaí
4209607,42015,Carbonífera
4209706,42009,Alto Vale do Rio do Peixe
4209805,42007,Grande Florianópolis
4209854,42010,Alto Uruguai Catarinense
4209904,42004,Alto Vale do Itajaí
4210001,42005,Foz do Rio Itajaí
4210035,42008,Meio Oeste
4210050,42009,Alto Vale do Rio do Peixe
4210100,42012,Planalto Norte
4210209,42007,Grande Florianópolis
4210308,42012,Planalto Norte
4210407,42014,Extremo Sul Catarinense
4210506,42001,Extremo Oeste
4210555,42003,Xanxerê
4210605,42011,Nordeste
4210704,42009,Alto Vale do Rio do Peixe
4210803,42014,Extremo Sul Catarinense
4210852,42004,Alto Vale do Itajaí
4210902,42001,Extremo Oeste
4211009,42001,Extremo Oeste
4211058,42008,Meio Oeste
4211108,42012,Planalto Norte
4211207,42015,Carbonífera
4211256,42014,Extremo Sul Catarinense
4211306,42005,Foz do Rio Itajaí
4211405,42002,Oeste
4211454,42002,Oeste
4211504,42007,Grande Florianópolis
4211603,42015,Carbonífera
4211652,42003,Xanxerê
4211702,42015,Carbonífera
4211751,42013,Serra Catarinense
4211801,42008,Meio Oeste
4211850,42003,Xanxerê
4211876,42010,Alto Uruguai Catarinense
4211892,42013,Serra Catarinense
4211900,42007,Grande Florianópolis
4212007,42001,Extremo Oeste
4212056,42013,Serra Catarinense
4212106,42002,Oeste
4212205,42012,Planalto Norte
4212239,42001,Extremo Oeste
4212254,42014,Extremo Sul Catarinense
4212270,42003,Xanxerê
4212304,42007,Grande Florianópolis
4212403,42016,Laguna
4212502,42005,Foz do Rio Itajaí
4212601,42010,Alto Uruguai Catarinense
4212700,42004,Alto Vale do Itajaí
4212809,42005,Foz do Rio Itajaí
4212908,42002,Oeste
4213005,42009,Alto Vale do Rio do Peixe
4213104,42010,Alto Uruguai Catarinense
4213153,42002,Oeste
4213203,42006,Médio Vale do Itajaí
4213302,42013,Serra Catarinense
4213351,42009,Alto Vale do Rio do Peixe
4213401,42003,Xanxerê
4213500,42005,Foz do Rio Itajaí
4213609,42012,Planalto Norte
4213708,42004,Alto Vale do Itajaí
4213807,42014,Extremo Sul Catarinense
4213906,42010,Alto Uruguai Catarinense
4214003,42004,Alto Vale do Itajaí
4214102,42004,Alto Vale do Itajaí
4214151,42001,Extremo Oeste
4214201,42002,Oeste
4214300,42007,Grande Florianópolis
4214409,42009,Alto Vale do Rio do Peixe
4214508,42004,Alto Vale do Itajaí
4214607,42004,Alto Vale do Itajaí
4214706,42006,Médio Vale do Itajaí
